id,school,state,year,applied,admitted
211025,Carver Center Arts & Tech,Maryland,2019-20,42,22
211025,Carver Center Arts & Tech,Maryland,2020-21,59,35
211025,Carver Center Arts & Tech,Maryland,2021-22,67,41
211025,Carver Center Arts & Tech,Maryland,2022-23,81,46
210065,Catholic High School Baltimore,Maryland,2013-14,NA,NA
210065,Catholic High School Baltimore,Maryland,2014-15,12,<10
210065,Catholic High School Baltimore,Maryland,2015-16,12,<10
210065,Catholic High School Baltimore,Maryland,2016-17,24,12
210065,Catholic High School Baltimore,Maryland,2017-18,22,13
210065,Catholic High School Baltimore,Maryland,2018-19,20,<10
210065,Catholic High School Baltimore,Maryland,2019-20,15,<10
210065,Catholic High School Baltimore,Maryland,2020-21,30,19
210065,Catholic High School Baltimore,Maryland,2021-22,30,18
210065,Catholic High School Baltimore,Maryland,2022-23,22,16
211015,Catoctin High School,Maryland,2013-14,12,<10
211015,Catoctin High School,Maryland,2014-15,15,<10
211015,Catoctin High School,Maryland,2015-16,11,<10
211015,Catoctin High School,Maryland,2016-17,22,<10
211015,Catoctin High School,Maryland,2017-18,15,10
211015,Catoctin High School,Maryland,2018-19,NA,NA
211015,Catoctin High School,Maryland,2019-20,14,<10
211015,Catoctin High School,Maryland,2020-21,12,<10
211015,Catoctin High School,Maryland,2021-22,14,<10
211015,Catoctin High School,Maryland,2022-23,19,14
210070,Catonsville High School,Maryland,2013-14,79,41
210070,Catonsville High School,Maryland,2014-15,78,42
210070,Catonsville High School,Maryland,2015-16,66,34
210070,Catonsville High School,Maryland,2016-17,76,36
210070,Catonsville High School,Maryland,2017-18,103,50
210070,Catonsville High School,Maryland,2018-19,87,50
210070,Catonsville High School,Maryland,2019-20,86,47
210070,Catonsville High School,Maryland,2020-21,75,40
210070,Catonsville High School,Maryland,2021-22,114,80
210070,Catonsville High School,Maryland,2022-23,138,66
210509,Centennial High School,Maryland,2013-14,209,122
210509,Centennial High School,Maryland,2014-15,204,132
210509,Centennial High School,Maryland,2015-16,183,96
210509,Centennial High School,Maryland,2016-17,195,113
210509,Centennial High School,Maryland,2017-18,238,121
210509,Centennial High School,Maryland,2018-19,248,131
210509,Centennial High School,Maryland,2019-20,242,133
210509,Centennial High School,Maryland,2020-21,264,122
210509,Centennial High School,Maryland,2021-22,302,187
210509,Centennial High School,Maryland,2022-23,257,165
210942,Central Senior High School,Maryland,2013-14,17,<10
210942,Central Senior High School,Maryland,2014-15,NA,NA
210942,Central Senior High School,Maryland,2015-16,22,<10
210942,Central Senior High School,Maryland,2016-17,26,<10
210942,Central Senior High School,Maryland,2017-18,22,<10
210942,Central Senior High School,Maryland,2018-19,14,<10
210942,Central Senior High School,Maryland,2019-20,19,<10
210942,Central Senior High School,Maryland,2020-21,18,<10
210942,Central Senior High School,Maryland,2021-22,15,<10
210942,Central Senior High School,Maryland,2022-23,22,10
211004,Century High School,Maryland,2013-14,52,25
211004,Century High School,Maryland,2014-15,48,25
211004,Century High School,Maryland,2015-16,55,27
211004,Century High School,Maryland,2016-17,80,43
211004,Century High School,Maryland,2017-18,64,31
211004,Century High School,Maryland,2018-19,80,46
211004,Century High School,Maryland,2019-20,79,45
211004,Century High School,Maryland,2020-21,75,38
211004,Century High School,Maryland,2021-22,85,48
211004,Century High School,Maryland,2022-23,91,40
210744,Chapelgate Christian Academy,Maryland,2013-14,16,<10
210744,Chapelgate Christian Academy,Maryland,2014-15,13,<10
210744,Chapelgate Christian Academy,Maryland,2015-16,13,<10
210744,Chapelgate Christian Academy,Maryland,2016-17,11,<10
210744,Chapelgate Christian Academy,Maryland,2017-18,13,<10
210744,Chapelgate Christian Academy,Maryland,2018-19,13,<10
210744,Chapelgate Christian Academy,Maryland,2019-20,16,<10
210744,Chapelgate Christian Academy,Maryland,2020-21,NA,NA
210744,Chapelgate Christian Academy,Maryland,2021-22,13,<10
210744,Chapelgate Christian Academy,Maryland,2022-23,21,<10
210383,Charles E Smith Jewish Day Sch,Maryland,2013-14,62,40
210383,Charles E Smith Jewish Day Sch,Maryland,2014-15,75,47
210383,Charles E Smith Jewish Day Sch,Maryland,2015-16,61,37
210383,Charles E Smith Jewish Day Sch,Maryland,2016-17,51,30
210383,Charles E Smith Jewish Day Sch,Maryland,2017-18,67,33
210383,Charles E Smith Jewish Day Sch,Maryland,2018-19,70,40
210383,Charles E Smith Jewish Day Sch,Maryland,2019-20,82,37
210383,Charles E Smith Jewish Day Sch,Maryland,2020-21,53,29
210383,Charles E Smith Jewish Day Sch,Maryland,2021-22,63,31
210383,Charles E Smith Jewish Day Sch,Maryland,2022-23,65,39
210980,Charles Herbert Flowers Hs,Maryland,2013-14,72,25
210980,Charles Herbert Flowers Hs,Maryland,2014-15,109,48
210980,Charles Herbert Flowers Hs,Maryland,2015-16,85,23
210980,Charles Herbert Flowers Hs,Maryland,2016-17,110,52
210980,Charles Herbert Flowers Hs,Maryland,2017-18,94,34
210980,Charles Herbert Flowers Hs,Maryland,2018-19,94,24
210980,Charles Herbert Flowers Hs,Maryland,2019-20,80,31
210980,Charles Herbert Flowers Hs,Maryland,2020-21,101,40
210980,Charles Herbert Flowers Hs,Maryland,2021-22,170,86
210980,Charles Herbert Flowers Hs,Maryland,2022-23,172,85
210071,Chesapeake High School,Maryland,2013-14,NA,NA
210071,Chesapeake High School,Maryland,2014-15,22,<10
210071,Chesapeake High School,Maryland,2015-16,13,<10
210071,Chesapeake High School,Maryland,2016-17,12,<10
210071,Chesapeake High School,Maryland,2017-18,12,<10
210071,Chesapeake High School,Maryland,2018-19,NA,NA
210071,Chesapeake High School,Maryland,2019-20,NA,NA
210071,Chesapeake High School,Maryland,2020-21,12,<10
210071,Chesapeake High School,Maryland,2021-22,18,<10
210071,Chesapeake High School,Maryland,2022-23,17,11
210722,Chesapeake Math & It Academy,Maryland,2013-14,NA,NA
210722,Chesapeake Math & It Academy,Maryland,2014-15,NA,NA
210722,Chesapeake Math & It Academy,Maryland,2015-16,NA,NA
210722,Chesapeake Math & It Academy,Maryland,2016-17,NA,NA
210722,Chesapeake Math & It Academy,Maryland,2017-18,19,<10
210722,Chesapeake Math & It Academy,Maryland,2018-19,44,15
210722,Chesapeake Math & It Academy,Maryland,2019-20,19,<10
210722,Chesapeake Math & It Academy,Maryland,2020-21,32,16
210722,Chesapeake Math & It Academy,Maryland,2021-22,58,30
210722,Chesapeake Math & It Academy,Maryland,2022-23,82,39
210161,Chesapeake Math & It South,Maryland,2013-14,NA,NA
