original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,confidence_city_level,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Fairmont Heights High School 6501 Columbia Park Rd,38.90428,-76.91664,"Fairmont Heights High School, Fairmount Heights, MD, United States of America",Fairmont Heights High School,,,,,,Fairmount Heights,Prince George's County,,Maryland,MD,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/
Fallston High School 2301 Carrs Mill Rd,39.5220529,-76.4131135,"Fallston High School, 2301 Carrs Mill Road, Fallston, MD 21047, United States of America",Fallston High School,2301,Carrs Mill Road,,21047,White House Park,Fallston,Harford County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Forestville High School 7001 Beltz Dr,38.836757,-76.885987,"7001 Beltz Drive, District Heights, MD 20747, United States of America",,7001,Beltz Drive,,20747,,District Heights,Prince George's County,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Francis Scott Key High School 3825 Bark Hill Rd,39.59121595,-77.13436591965552,"Francis Scott Key High School, 3825 Bark Hill Road, Union Bridge, MD 21791, United States of America",Francis Scott Key High School,3825,Bark Hill Road,,21791,West View Terrace,Union Bridge,Carroll County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Franklin High School 12000 Reisterstown Rd,38.392966,-121.43023,"Franklin High School, Elk Grove, CA, United States of America",Franklin High School,,,,,,Elk Grove,Sacramento County,,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frederick Douglass High School 2301 Gwynns Falls Pkwy,39.315399,-76.654035,"Frederick Douglass High School, Gwynns Falls Parkway, Baltimore, MD 21216, United States of America",Frederick Douglass High School,,Gwynns Falls Parkway,Mondawmin,21216,,Baltimore,,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frederick High School 650 Carroll Pkwy,39.4166901,-77.4279215,"Frederick High School, 650 Carroll Parkway, Frederick, MD 21701, United States of America",Frederick High School,650,Carroll Parkway,,21701,,Frederick,Frederick County,,Maryland,MD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
French International School 1362 H St NW,39.01355,-77.11357,"French International School, Bethesda, MD, United States of America",French International School,,,,,,Bethesda,Montgomery County,,Maryland,MD,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/
Friendly High School 10000 Allentown Rd,38.752009,-76.968688,"Friendly High School, Friendly, MD, United States of America",,,Friendly High School,,,,Friendly,Prince George's County,,Maryland,MD,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Friends School of Baltimore 5114 N Charles St,39.356311,-76.627708,"5114 North Charles Street, Baltimore, MD 21210, United States of America",,5114,North Charles Street,,21210,,Baltimore,City of Baltimore,,Maryland,MD,United States,us,0.9,© OpenAddresses contributors,BSD-3-Clause License,
